Transaction_ID,Store_ID,Timestamp,Amount,Rounded_Value,Difference
1,S7,2026-01-01 00:00:00,187.79,188.0,0.21000000000000796
2,S4,2026-01-01 00:01:00,185.0,185.0,0.0
3,S8,2026-01-01 00:02:00,19.58,20.0,0.4200000000000017
4,S5,2026-01-01 00:03:00,42.89,43.0,0.10999999999999943
5,S7,2026-01-01 00:04:00,36.51,37.0,0.490000000000002
6,S10,2026-01-01 00:05:00,63.43,63.0,-0.4299999999999997
7,S3,2026-01-01 00:06:00,48.77,49.0,0.22999999999999687
8,S7,2026-01-01 00:07:00,189.71,190.0,0.28999999999999204
9,S8,2026-01-01 00:08:00,25.99,26.0,0.010000000000001563
10,S5,2026-01-01 00:09:00,50.22,50.0,-0.21999999999999886
11,S4,2026-01-01 00:10:00,25.34,25.0,-0.33999999999999986
12,S8,2026-01-01 00:11:00,196.27,196.0,-0.27000000000001023
13,S8,2026-01-01 00:12:00,184.5,184.0,-0.5
14,S3,2026-01-01 00:13:00,146.16,147.0,0.8400000000000034
15,S6,2026-01-01 00:14:00,90.93,91.0,0.06999999999999318
16,S5,2026-01-01 00:15:00,46.13,46.0,-0.13000000000000256
17,S2,2026-01-01 00:16:00,52.08,52.0,-0.0799999999999983
18,S8,2026-01-01 00:17:00,94.18,94.0,-0.18000000000000682
19,S6,2026-01-01 00:18:00,155.96,156.0,0.03999999999999204
20,S2,2026-01-01 00:19:00,60.3,60.0,-0.29999999999999716
21,S5,2026-01-01 00:20:00,69.05,69.0,-0.04999999999999716
22,S1,2026-01-01 00:21:00,123.99,124.0,0.010000000000005116
23,S10,2026-01-01 00:22:00,55.17,55.0,-0.1700000000000017
24,S6,2026-01-01 00:23:00,121.0,121.0,0.0
25,S9,2026-01-01 00:24:00,83.55,84.0,0.45000000000000284
26,S1,2026-01-01 00:25:00,16.53,17.0,0.46999999999999886
27,S10,2026-01-01 00:26:00,86.51,87.0,0.4899999999999949
28,S3,2026-01-01 00:27:00,184.71,185.0,0.28999999999999204
29,S7,2026-01-01 00:28:00,65.69,66.0,0.3100000000000023
30,S4,2026-01-01 00:29:00,71.34,71.0,-0.3400000000000034
31,S9,2026-01-01 00:30:00,22.53,23.0,0.46999999999999886
32,S3,2026-01-01 00:31:00,126.86,127.0,0.14000000000000057
33,S5,2026-01-01 00:32:00,171.36,171.0,-0.36000000000001364
34,S3,2026-01-01 00:33:00,77.06,78.0,0.9399999999999977
35,S7,2026-01-01 00:34:00,55.65,56.0,0.3500000000000014
36,S5,2026-01-01 00:35:00,191.76,192.0,0.2400000000000091
37,S9,2026-01-01 00:36:00,151.56,152.0,0.4399999999999977
38,S7,2026-01-01 00:37:00,117.76,118.0,0.23999999999999488
39,S2,2026-01-01 00:38:00,68.05,68.0,-0.04999999999999716
40,S4,2026-01-01 00:39:00,51.95,52.0,0.04999999999999716
41,S9,2026-01-01 00:40:00,145.99,146.0,0.009999999999990905
42,S2,2026-01-01 00:41:00,109.14,109.0,-0.14000000000000057
43,S10,2026-01-01 00:42:00,108.91,109.0,0.09000000000000341
44,S9,2026-01-01 00:43:00,24.0,24.0,0.0
45,S10,2026-01-01 00:44:00,107.32,107.0,-0.3199999999999932
